pk,run_id,zooniverse_id,projection,algorithm,number_of_clusters,expected_number_of_clusters,mean_distances_from_clusters,parameters
957,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,11,9,28.85869,25.00000
956,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,11,9,28.93827,20.00000
949,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,29.02185,285.00000
951,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,29.02185,295.00000
950,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,29.02185,290.00000
977,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,6,9,29.21010,85.00000
976,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,6,9,29.21010,80.00000
967,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,12,9,29.31582,35.00000
1036,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,16,14,29.55514,40.00000
979,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,6,9,29.79119,95.00000
968,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,12,9,29.80303,40.00000
1038,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,12,14,29.92794,50.00000
1018,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,2,9,29.99955,290.00000
1019,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,2,9,29.99955,295.00000
1017,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,2,9,29.99955,285.00000
958,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,10,9,30.02240,30.00000
955,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,12,9,30.77612,15.00000
954,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,12,9,30.77612,10.00000
969,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,11,9,30.80828,45.00000
970,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,11,9,30.88216,50.00000
944,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,31.24022,260.00000
961,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,10,9,31.48734,45.00000
823,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,DBSCAN,17,8,31.62182,35.00000
1022,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,DBSCAN,15,14,31.77450,10.00000
959,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,10,9,32.40622,35.00000
960,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,10,9,32.40622,40.00000
973,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,10,9,33.79612,65.00000
972,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,10,9,33.87870,60.00000
1064,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,33.89852,180.00000
1065,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,33.89852,185.00000
939,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.17251,235.00000
971,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,10,9,34.23796,55.00000
945,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.59134,265.00000
947,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.59134,275.00000
942,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.96942,250.00000
943,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.96942,255.00000
941,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,34.96942,245.00000
1074,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,230.00000
1070,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,210.00000
1075,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,235.00000
1076,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,240.00000
1072,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,220.00000
1078,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,250.00000
1079,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,255.00000
1080,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,260.00000
1073,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,225.00000
1071,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,215.00000
1077,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,36.35393,245.00000
946,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,36.76955,270.00000
974,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,MeanShift,9,9,36.85364,70.00000
940,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,1,10,37.05193,240.00000
835,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,38,8,37.84086,55.00000
953,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000lr6,XY,DBSCAN,13,9,38.91199,5.00000
1066,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,40.01561,190.00000
1069,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,40.01561,205.00000
1068,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,40.01561,200.00000
1067,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000myo,RZzoom,MeanShift,1,14,40.01561,195.00000
