pk,run_id,zooniverse_id,projection,algorithm,number_of_clusters,expected_number_of_clusters,mean_distances_from_clusters,parameters
892,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,DBSCAN,19,10,84.26471,40.00000
893,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,DBSCAN,18,10,84.35761,45.00000
927,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,3,10,85.13017,175.00000
839,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,28,8,86.76542,75.00000
840,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,27,8,89.02147,80.00000
885,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,DBSCAN,18,10,90.40007,5.00000
909,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,13,10,98.79041,85.00000
926,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,4,10,102.63206,170.00000
910,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,11,10,103.00569,90.00000
930,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,3,10,103.44076,190.00000
912,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,11,10,109.69155,100.00000
921,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,6,10,112.64984,145.00000
918,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,7,10,112.77150,130.00000
919,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,7,10,113.20866,135.00000
917,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,7,10,116.31118,125.00000
843,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,23,8,117.49492,95.00000
842,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,26,8,117.49492,90.00000
841,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,26,8,117.73480,85.00000
916,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,7,10,117.81531,120.00000
914,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,8,10,118.77801,110.00000
920,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,6,10,119.66989,140.00000
915,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,7,10,121.06393,115.00000
911,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,10,10,121.18902,95.00000
913,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,MeanShift,8,10,122.84545,105.00000
952,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0001ram,XYzoom,KMeans,10,10,125.12108,
844,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,21,8,140.46335,100.00000
845,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,21,8,163.56612,105.00000
846,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,19,8,206.02051,110.00000
848,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,17,8,248.45204,120.00000
850,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,18,8,248.45204,130.00000
849,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,17,8,248.45204,125.00000
852,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,15,8,249.02411,140.00000
851,fe11dbfe-2c12-48da-895b-36d5e23c94c4,AHH0000o3y,XY,MeanShift,16,8,249.02411,135.00000
